Titel,Link,Description
DataPLANT,http://nfdi4plants.de/,Data in Plant research (Biology)
GHGA,https://ghga.dkfz.de/,German Human Genome Archive (Medicine)
KonsortSWD,https://www.konsortswd.de/,"Consortium for the Social, Behavioural, Educational, and Economic Sciences (Social Sciences)"
NFDI4BioDiversity,https://www.nfdi4biodiversity.org/,"Biodiversity, Ecology & Envi-ronmental Data (Biology)"
NFDI4Cat,http://gecats.org/NFDI4Cat.html,NFDI for Catalysis-Related Sciences (Chemistry)
NFDI4Chem,https://www.nfdi4chem.de/,Chemistry Consortium in the NFDI (Chemistry)
NFDI4Culture,https://nfdi4culture.de/,Consortium for research data on ma-terial and immaterial cultural heritage (Humanities)
NFDI4Health,https://www.nfdi4health.de/,National Research Data Infrastructure for Personal Health Data (Medicine)
NFDI4Ing,https://nfdi4ing.de/,National Research Data Infrastructure for Engineering Sciences (Engineering Sciences)
