Wikidata,Consortium,GEPRIS,City,Twitter,GitHub,YouTube,Inception,Homepage
http://www.wikidata.org/entity/Q98380344,NFDI4Ing,442146713,Aachen,NFDI4Ing,,,2020-10-01T00:00:00Z,https://nfdi4ing.de
http://www.wikidata.org/entity/Q99534506,NFDI4Microbiota,460129525,Cologne,nfdi4microbiota,,,2021-10-01T00:00:00Z,https://nfdi4microbiota.de/
http://www.wikidata.org/entity/Q108327788,MaRDI,460135501,Berlin,mardi4nfdi,,,2021-10-01T00:00:00Z,https://www.mardi4nfdi.de
http://www.wikidata.org/entity/Q108542181,BERD@NFDI,460037581,Mannheim,BERD_NFDI,,,2021-10-01T00:00:00Z,https://www.berd-nfdi.de
http://www.wikidata.org/entity/Q108542327,DAPHNE4NFDI,460248799,Hamburg,,,,2021-10-01T00:00:00Z,https://www.sni-portal.de/de/daphne-nfdi/daphne-nfdi
http://www.wikidata.org/entity/Q108542373,FAIRmat,460197019,Berlin,FAIRmat_NFDI,,,2021-10-01T00:00:00Z,https://www.fair-di.eu/fairmat/fairmat_/consortium
http://www.wikidata.org/entity/Q108542422,NFDI4DataScience,460234259,Munich,nfdi4ds,,,2021-10-01T00:00:00Z,https://www.nfdi4datascience.de
http://www.wikidata.org/entity/Q108542504,NFDI4Earth,460036893,Dresden,nfdi4earth,,,2021-10-01T00:00:00Z,https://www.nfdi4earth.de
http://www.wikidata.org/entity/Q108542607,NFDI-MatWerk,460247524,Munich,NMatwerk,,,2021-10-01T00:00:00Z,https://nfdi-matwerk.de
http://www.wikidata.org/entity/Q108542637,PUNCH4NFDI,460248186,Hamburg,Punch4NFDI,,,2021-10-01T00:00:00Z,https://www.punch4nfdi.de
http://www.wikidata.org/entity/Q96678459,NFDI4Chem,441958208,Jena,Nfdi4Chem,NFDI4Chem,UCQlKQDjyYFzlUFrDfR9vVJg,2020-10-01T00:00:00Z,https://www.nfdi4chem.de
http://www.wikidata.org/entity/Q98271443,Text+,460033370,Mannheim,Textplus_NFDI,,,2021-10-01T00:00:00Z,https://www.text-plus.org
http://www.wikidata.org/entity/Q98276929,NFDI4Culture,441958017,Mainz,nfdi4culture,NFDI4Culture,,2020-10-01T00:00:00Z,https://nfdi4culture.de
http://www.wikidata.org/entity/Q98380336,DataPlant,442077441,Freiburg im Breisgau,nfdi4plants,nfdi4plants,UCrTBwQWOa0-aWYkwoY104Wg,2020-10-01T00:00:00Z,http://nfdi4plants.de
http://www.wikidata.org/entity/Q98380337,GHGA,441914366,Heidelberg,GHGA_DE,ghga-de,,2020-10-01T00:00:00Z,https://ghga.dkfz.de
http://www.wikidata.org/entity/Q98380342,NFDI4Cat,441926934,Frankfurt am Main,NFDI4Cat,,,2020-10-01T00:00:00Z,https://nfdi4cat.org
http://www.wikidata.org/entity/Q98380343,NFDI4Health,442326535,Cologne,NFDI4Health,nfdi4health,,2020-10-01T00:00:00Z,https://www.nfdi4health.de
http://www.wikidata.org/entity/Q98380340,KonsortSWD,442494171,Mannheim,KonsortSwd,,,2020-10-01T00:00:00Z,https://www.ratswd.de/konsortswd
http://www.wikidata.org/entity/Q98380341,NFDI4BioDiversity,442032008,Bremen,NFDI4BioDiv,,,2020-10-01T00:00:00Z,https://www.nfdi4biodiversity.org
